trials_square_2.thisRepN,trials_square_2.thisTrialN,trials_square_2.thisN,trials_square_2.thisIndex,trials_square.thisRepN,trials_square.thisTrialN,trials_square.thisN,trials_square.thisIndex,trials_square_rec.thisRepN,trials_square_rec.thisTrialN,trials_square_rec.thisN,trials_square_rec.thisIndex,trials_prac2.thisRepN,trials_prac2.thisTrialN,trials_prac2.thisN,trials_prac2.thisIndex,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,text.started,key_resp.started,mouse_4.started,key_resp.keys,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,text_8.started,key_resp_8.started,mouse_5.started,key_resp_8.keys,key_resp_8.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,text_level_1.started,text_level_2.started,text_level_1.stopped,text_level_2.stopped,fixation2.started,fixation2.stopped,grid.started,square_rand.started,grid.stopped,square_rand.stopped,squareShown,text_9.started,grid2.started,square_0.started,square_1.started,square_2.started,square_3.started,square_4.started,square_5.started,square_6.started,square_7.started,square_8.started,square_9.started,square_10.started,square_11.started,square_12.started,square_13.started,square_14.started,square_15.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_10.started,grid3.started,square_16.started,square_17.started,square_18.started,square_19.started,square_20.started,square_21.started,square_22.started,square_23.started,square_24.started,square_25.started,square_26.started,square_27.started,square_28.started,square_29.started,square_30.started,square_31.started,text_10.stopped,grid3.stopped,square_16.stopped,square_17.stopped,square_18.stopped,square_19.stopped,square_20.stopped,square_21.stopped,square_22.stopped,square_23.stopped,square_24.stopped,square_25.stopped,square_26.stopped,square_27.stopped,square_28.stopped,square_29.stopped,square_30.stopped,square_31.stopped,text_result_squares.started,text_end_prac.started,mouse_2.started,key_resp_13.started,number_of_correct_squares_clicked,total_squares_clicked,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,key_resp_13.keys,text_square_end.started,text_11.started,key_resp_9.started,mouse_3.started,key_resp_9.keys,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,text_2.started,key_resp_2.started,mouse_6.started,key_resp_2.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,text_3.started,image_sym.started,text_sym_nsym.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,text_4.started,image.started,text_sym_nsym_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_5.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,fixation.started,image_2.started,text_sym_nsym_3.started,text_countdown.started,text_how_many_correct.started,key_resp_6.started,fixation.stopped,key_resp_6.keys,key_resp_6.rt,image_3.started,image_4.started,SymmAnswer,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,11.413150999986101,11.413150999986101,3.479997394606471e-05,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279319,001,2023-02-02_11h40.02.427,Symmetry_Span_1,2022.2.5,59.8242125394813,
,,,,,,,,,,,,,,,,,,,,,,,,[-0.19907407407407407],[0.05462962962962963],[1],[0],[0],[0.9419797000009567],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279319,001,2023-02-02_11h40.02.427,Symmetry_Span_1,2022.2.5,59.8242125394813,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.34733319998486,12.34733319998486,2.2899999748915434e-05,space,0.9181502999854274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279319,001,2023-02-02_11h40.02.427,Symmetry_Span_1,2022.2.5,59.8242125394813,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279319,001,2023-02-02_11h40.02.427,Symmetry_Span_1,2022.2.5,59.8242125394813,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.295367299986538,13.295367299986538,15.295179600012489,15.295179600012489,15.295179600012489,15.796392799995374,15.796392799995374,15.796392799995374,16.446706899965648,16.446706899965648,square_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279319,001,2023-02-02_11h40.02.427,Symmetry_Span_1,2022.2.5,59.8242125394813,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.446706899965648,16.94716789998347,16.94716789998347,16.94716789998347,17.599429099995177,17.599429099995177,square_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279319,001,2023-02-02_11h40.02.427,Symmetry_Span_1,2022.2.5,59.8242125394813,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.599429099995177,17.599429099995177,17.599429099995177,17.599429099995177,17.599429099995177,17.599429099995177,17.599429099995177,17.599429099995177,17.599429099995177,17.599429099995177,17.599429099995177,17.599429099995177,17.599429099995177,17.599429099995177,17.599429099995177,17.599429099995177,17.599429099995177,17.599429099995177,0.016112699988298118,[0.24814814814814815],[-0.10277777777777777],[1],[0],[0],[0.36664609995204955],['square_11'],17.99477409996325,17.99477409996325,17.99477409996325,17.99477409996325,17.99477409996325,17.99477409996325,17.99477409996325,17.99477409996325,17.99477409996325,17.99477409996325,17.99477409996325,17.99477409996325,17.99477409996325,17.99477409996325,17.99477409996325,17.99477409996325,17.99477409996325,17.99477409996325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279319,001,2023-02-02_11h40.02.427,Symmetry_Span_1,2022.2.5,59.8242125394813,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.19470920000458,18.19470920000458,18.19470920000458,18.19470920000458,18.19470920000458,18.19470920000458,18.19470920000458,18.19470920000458,18.19470920000458,18.19470920000458,18.19470920000458,18.19470920000458,18.19470920000458,18.19470920000458,18.19470920000458,18.19470920000458,18.19470920000458,18.19470920000458,0.017764699994586408,[-0.2351851851851852],[0.13148148148148148],[1],[0],[0],[0.6299389000050724],['square_4'],18.830844999989495,18.830844999989495,18.830844999989495,18.830844999989495,18.830844999989495,18.830844999989495,18.830844999989495,18.830844999989495,18.830844999989495,18.830844999989495,18.830844999989495,18.830844999989495,18.830844999989495,18.830844999989495,18.830844999989495,18.830844999989495,18.830844999989495,18.830844999989495,19.044894199992996,19.044894199992996,19.044894199992996,19.044894199992996,19.044894199992996,19.044894199992996,19.044894199992996,19.044894199992996,19.044894199992996,19.044894199992996,19.044894199992996,19.044894199992996,19.044894199992996,19.044894199992996,19.044894199992996,19.044894199992996,19.044894199992996,19.044894199992996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279319,001,2023-02-02_11h40.02.427,Symmetry_Span_1,2022.2.5,59.8242125394813,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.044894199992996,19.044894199992996,0.005673900013789535,19.044894199992996,2,2,[-0.07314814814814814],[0.125],[1],[0],[0],[0.6930148000246845],None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279319,001,2023-02-02_11h40.02.427,Symmetry_Span_1,2022.2.5,59.8242125394813,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.74537540000165,19.74537540000165,,,21.761044599988963,22.260933299956378,22.245177000004333,22.245177000004333,22.894444999983534,22.894444999983534,square_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279319,001,2023-02-02_11h40.02.427,Symmetry_Span_1,2022.2.5,59.8242125394813,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.894444999983534,23.394182299962267,23.394182299962267,23.394182299962267,24.044914199970663,24.044914199970663,square_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279319,001,2023-02-02_11h40.02.427,Symmetry_Span_1,2022.2.5,59.8242125394813,
1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.044914199970663,24.044914199970663,24.044914199970663,24.044914199970663,24.044914199970663,24.044914199970663,24.044914199970663,24.044914199970663,24.044914199970663,24.044914199970663,24.044914199970663,24.044914199970663,24.044914199970663,24.044914199970663,24.044914199970663,24.044914199970663,24.044914199970663,24.044914199970663,0.014410700008738786,[0.06944444444444445],[-0.03333333333333333],[1],[0],[0],[0.06694220000645146],['square_10'],24.127274699974805,24.127274699974805,24.127274699974805,24.127274699974805,24.127274699974805,24.127274699974805,24.127274699974805,24.127274699974805,24.127274699974805,24.127274699974805,24.127274699974805,24.127274699974805,24.127274699974805,24.127274699974805,24.127274699974805,24.127274699974805,24.127274699974805,24.127274699974805,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279319,001,2023-02-02_11h40.02.427,Symmetry_Span_1,2022.2.5,59.8242125394813,
1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,24.327212899981532,0.005704700015485287,[0.06944444444444445],[-0.03333333333333333],[0],[0],[1],[0.11115469998912886],['square_10'],24.444113000005018,24.444113000005018,24.444113000005018,24.444113000005018,24.444113000005018,24.444113000005018,24.444113000005018,24.444113000005018,24.444113000005018,24.444113000005018,24.444113000005018,24.444113000005018,24.444113000005018,24.444113000005018,24.444113000005018,24.444113000005018,24.444113000005018,24.444113000005018,24.64436219999334,24.64436219999334,24.64436219999334,24.64436219999334,24.64436219999334,24.64436219999334,24.64436219999334,24.64436219999334,24.64436219999334,24.64436219999334,24.64436219999334,24.64436219999334,24.64436219999334,24.64436219999334,24.64436219999334,24.64436219999334,24.64436219999334,24.64436219999334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279319,001,2023-02-02_11h40.02.427,Symmetry_Span_1,2022.2.5,59.8242125394813,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.64436219999334,24.64436219999334,0.005572199996095151,24.64436219999334,0,2,[0.06944444444444445],[-0.03333333333333333],[1],[0],[0],[0.07290989998728037],None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279319,001,2023-02-02_11h40.02.427,Symmetry_Span_1,2022.2.5,59.8242125394813,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.72895580000477,24.72895580000477,26.728751199960243,26.728751199960243,26.728751199960243,27.22936239995761,27.22936239995761,27.22936239995761,27.87874119996559,27.87874119996559,square_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279319,001,2023-02-02_11h40.02.427,Symmetry_Span_1,2022.2.5,59.8242125394813,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.87874119996559,28.379184399964288,28.379184399964288,28.379184399964288,29.028639399970416,29.028639399970416,square_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279319,001,2023-02-02_11h40.02.427,Symmetry_Span_1,2022.2.5,59.8242125394813,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.028639399970416,29.52896059997147,29.52896059997147,29.52896059997147,30.179176900011953,30.179176900011953,square_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279319,001,2023-02-02_11h40.02.427,Symmetry_Span_1,2022.2.5,59.8242125394813,
